MONTH,DAY_OF_WEEK,FL_DATE,MKT_UNIQUE_CARRIER,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,DUP,CRS_ELAPSED_TIME,DISTANCE,WEATHER_DELAY,NAS_DELAY,LATE_AIRCRAFT_DELAY,DIV_AIRPORT_LANDINGS
7,1,7/4/22 0:00,AA,YX,4794,ORD,SYR,1510,1801,1748,-13,0,0,N,111,607,,,,0
7,1,7/4/22 0:00,AA,YX,4798,ORD,SYR,2025,2318,2300,-18,0,0,N,113,607,,,,0
7,1,7/4/22 0:00,AA,YX,4907,ORD,SYR,950,1243,1238,-5,0,0,N,113,607,,,,0
7,1,7/4/22 0:00,B6,B6,2516,JFK,SYR,2259,13,125,72,0,0,N,74,209,0,0,5,0
7,1,7/4/22 0:00,DL,9E,4884,JFK,SYR,929,1053,1040,-13,0,0,N,84,209,,,,0
7,1,7/4/22 0:00,DL,9E,4981,JFK,SYR,1650,1830,1821,-9,0,0,N,100,209,,,,0
7,1,7/4/22 0:00,DL,9E,5036,JFK,SYR,2230,7,8,1,0,0,N,97,209,,,,0
7,1,7/4/22 0:00,UA,UA,1503,ORD,SYR,2105,2359,2353,-6,0,0,N,114,607,,,,0
7,1,7/4/22 0:00,UA,UA,288,ORD,SYR,1358,1653,,,1,0,N,115,607,,,,0
7,1,7/4/22 0:00,UA,OO,5573,ORD,SYR,715,1005,1011,6,0,0,N,110,607,,,,0
7,1,7/11/22 0:00,AA,YX,4794,ORD,SYR,1510,1801,1757,-4,0,0,N,111,607,,,,0
7,1,7/11/22 0:00,AA,YX,4798,ORD,SYR,2025,2318,2343,25,0,0,N,113,607,0,10,0,0
7,1,7/11/22 0:00,AA,YX,4907,ORD,SYR,950,1243,1418,95,0,0,N,113,607,0,43,0,0
7,1,7/11/22 0:00,B6,B6,2516,JFK,SYR,2259,13,15,2,0,0,N,74,209,,,,0
7,1,7/11/22 0:00,DL,9E,5090,JFK,SYR,2200,2337,2321,-16,0,0,N,97,209,,,,0
7,1,7/11/22 0:00,DL,9E,5202,JFK,SYR,929,1053,1029,-24,0,0,N,84,209,,,,0
7,1,7/11/22 0:00,UA,UA,1503,ORD,SYR,2105,2359,2340,-19,0,0,N,114,607,,,,0
7,1,7/11/22 0:00,UA,UA,288,ORD,SYR,1358,1653,,,1,0,N,115,607,,,,0
7,1,7/11/22 0:00,UA,OO,5573,ORD,SYR,715,1005,958,-7,0,0,N,110,607,,,,0
7,1,7/18/22 0:00,AA,YX,4794,ORD,SYR,1510,1801,1749,-12,0,0,N,111,607,,,,0
7,1,7/18/22 0:00,AA,YX,4798,ORD,SYR,2025,2318,2321,3,0,0,N,113,607,,,,0
7,1,7/18/22 0:00,AA,YX,4907,ORD,SYR,950,1243,1223,-20,0,0,N,113,607,,,,0
7,1,7/18/22 0:00,B6,B6,2516,JFK,SYR,2259,13,130,77,0,0,N,74,209,0,0,0,0
7,1,7/18/22 0:00,DL,9E,5090,JFK,SYR,2200,2337,,,1,0,N,97,209,,,,0
7,1,7/18/22 0:00,DL,9E,5202,JFK,SYR,929,1053,1052,-1,0,0,N,84,209,,,,0
7,1,7/18/22 0:00,UA,UA,1503,ORD,SYR,2105,2359,6,7,0,0,N,114,607,,,,0
